timestamp_ms,frame_time_ms,fps
8746.764,0.410,2441.001
8747.180,3.645,274.359
8750.841,0.585,1710.852
8751.435,0.436,2292.563
8751.879,0.435,2297.118
8752.322,0.448,2233.484
8752.777,0.428,2336.591
8753.295,0.519,1927.317
8753.822,0.450,2221.279
8754.278,0.429,2329.439
8754.713,0.432,2316.161
8755.150,0.459,2178.407
8755.615,0.457,2188.294
8756.080,0.439,2278.107
8756.526,0.421,2374.547
8756.955,0.439,2277.432
8757.401,0.430,2326.864
8757.837,0.399,2503.637
8758.244,0.463,2159.459
8758.714,0.466,2145.306
8759.187,0.559,1788.845
8759.752,0.413,2421.155
8760.170,0.444,2254.436
8760.618,0.419,2387.017
8761.042,0.416,2405.315
8761.463,0.446,2242.751
8761.913,0.442,2261.620
8762.360,0.440,2272.577
8762.804,0.443,2256.628
8763.252,0.467,2143.104
8763.723,3.732,267.924
8767.478,0.506,1977.660
8767.989,0.406,2461.993
8768.401,0.446,2241.595
8768.852,0.411,2433.250
8769.268,0.465,2152.380
8769.737,0.413,2421.988
8770.155,0.401,2491.374
8770.561,0.390,2565.267
8770.956,0.427,2343.803
8771.388,0.418,2394.854
8771.811,0.433,2306.896
8772.250,0.440,2272.980
8772.695,0.405,2467.345
8773.105,0.420,2383.052
8773.530,0.414,2415.412
8773.949,0.404,2478.106
8774.358,0.440,2270.379
8774.803,0.418,2389.720
8775.227,0.501,1996.861
8775.733,0.401,2495.726
8776.138,0.427,2341.657
8776.572,0.388,2576.476
8776.965,0.415,2409.424
8777.385,0.404,2476.964
8777.794,0.398,2513.232
8778.196,0.435,2297.087
8778.636,0.401,2490.790
8779.043,0.401,2494.612
8779.448,0.403,2481.113
8779.856,0.429,2332.808
8780.290,0.451,2216.140
8780.748,3.733,267.875
8784.499,0.527,1896.857
8785.031,0.427,2343.259
8785.463,0.415,2410.934
8785.882,0.427,2339.280
8786.314,0.378,2647.457
8786.696,0.375,2663.960
8787.076,0.392,2552.961
8787.472,0.375,2669.215
8787.851,0.402,2488.156
8788.258,0.412,2428.074
8788.674,0.483,2069.618
8789.163,0.479,2085.684
8789.647,0.382,2616.397
8790.057,0.433,2311.198
8790.494,0.512,1954.664
8791.034,0.431,2318.857
8791.471,0.425,2354.947
8791.900,0.418,2392.379
8792.323,0.435,2297.636
8792.763,0.418,2390.680
8793.186,0.432,2313.385
8793.624,0.430,2328.224
8794.058,0.419,2387.273
8794.482,0.415,2407.712
8794.903,0.433,2307.183
8795.341,0.417,2399.992
8795.763,0.418,2390.166
8796.186,0.452,2214.290
8796.643,0.433,2311.813
8797.080,3.768,265.414
8800.882,0.702,1423.552
8801.606,0.523,1913.216
8802.135,0.465,2152.380
8802.605,0.410,2440.810
8803.021,0.420,2382.013
8803.446,0.455,2197.986
8803.906,0.399,2507.887
8804.310,0.417,2398.335
8804.732,0.409,2446.310
8805.145,0.413,2422.398
8805.565,0.407,2456.538
8805.977,0.412,2427.332
8806.394,0.465,2152.704
8806.864,0.408,2451.557
8807.277,0.398,2515.470
8807.680,0.414,2418.333
8808.098,0.411,2434.630
8808.514,0.399,2508.913
8808.918,0.410,2441.019
8809.332,0.396,2525.756
8809.733,0.395,2534.829
8810.133,0.410,2441.406
8810.556,0.386,2591.352
8810.948,0.406,2461.260
8811.359,0.393,2545.585
8811.757,0.399,2508.491
8812.160,0.427,2339.750
8812.593,0.384,2603.509
8812.982,0.406,2465.094
8813.393,0.403,2478.745
8813.801,3.557,281.141
8817.376,0.491,2036.764
8817.873,0.394,2540.941
8818.271,0.395,2534.430
8818.670,0.385,2599.732
8819.060,0.401,2491.945
8819.466,0.371,2694.220
8819.859,0.366,2728.855
8820.230,0.384,2603.699
8820.619,0.367,2725.828
8820.990,0.387,2584.848
